稅則號	合併品名清單
2508.40.00.00-5	黏土
2516.20.10.00-7	石製品
2617.90.90.90-4	石製品;石製擺飾品;石頭擺飾物
2804.29.00.00-1	BOTTLE
3215.19.90.00-5	顏料
3215.90.00.00-6	墨水
3303.00.00.00-8	香水
3304.10.00.00-5	口紅;唇彩;唇蜜;脣膏;脣蜜
3304.20.00.10-1	睫毛膏
3304.30.10.00-9	指甲油
3304.30.90.00-2	美甲工具;美甲用品
3304.99.20.91-5	洗面乳
3304.99.90.91-0	乳液;保養品;化妝品;化妝水;化妝用品;口紅;定妝粉;沐浴乳;潔面乳;眼影;精華液;美容用品;臉部保養品;護手霜;護膚乳;護膚品;身體乳;面膜;面霜
3305.10.00.91-4	洗髮乳;洗髮水;洗髮精;護髮乳;護髮素
3306.10.10.90-2	牙膏
3306.20.00.00-1	牙線
3307.49.00.00-7	芳香用品;衛浴芳香用品;香水;香薰機配件;香薰配件
3307.90.90.90-7	洗手乳
3401.11.00.19-5	洗碗精;肥皂;肥皂液;香皂
3403.99.00.00-9	潤滑油
3406.00.00.00-4	蠟燭;蠟粒
3903.19.00.00-1	塑膠製品
3906.90.90.00-1	乳液
3907.99.90.00-1	膠水
3910.00.40.00-5	塑膠製品
3918.10.10.00-1	PC PARTS
3919.90.10.00-3	打包帶
3921.90.90.00-2	PLASTIC PARTS;PLASTIC TUBE;PLASTICPARTS;PLASTICS ARTICLE;PLASTICTUBE;PVC BOARD;PVCBOARD;噴頭;塑膠墊;塑膠套;塑膠拍;塑膠掛件;塑膠掛飾;塑膠擺件;塑膠板;塑膠框;塑膠桶;塑膠桿;塑膠條;塑膠模型;塑膠瓶;塑膠盒;塑膠盤;塑膠花;塑膠製品;塑膠配件;塑膠零件;工具箱;文件夾;零件盒
3923.30.00.00-2	BOTTLE;收納筒;水瓶
3923.90.90.90-1	塑膠製品
3925.10.90.00-5	包裝材料
3925.30.00.00-0	百葉窗
3926.30.00.00-9	塑膠箱;手提箱;收納箱;箱子
3926.90.16.12-4	面罩
3926.90.39.00-1	PVC PARTS;PVC TUBE;PVCPARTS;PVCTUBE;仿真植物盆景;保護貼膜;儲物盒;儲物箱;儲蓄罐;刮刀;包裝用具;化妝盒;吊飾;噴霧瓶;地墊;垃圾袋;塑料擺件;塑料桶;塑料模具;塑料模型;塑料盆;塑料製品;塑料配件;塑模型膠;塑膠卡片;塑膠吊飾;塑膠圈;塑膠塊;塑膠墊;塑膠套;塑膠工藝品;塑膠座;塑膠托盤;塑膠扣;塑膠拍;塑膠拖盤;塑膠掛飾;塑膠杆;塑膠板;塑膠架;塑膠桶;塑膠桿;塑膠棒;塑膠模具;塑膠模型;塑膠殼;塑膠片;塑膠球;塑膠瓶;塑膠盆;塑膠盒;塑膠盤;塑膠管;塑膠籃;塑膠粒;塑膠罩;塑膠膜;塑膠蓋;塑膠製品;塑膠配件;塞子;墊子;壁掛收納盒;太陽眼鏡盒;夾子;存錢罐;家用擺飾品;密封罐;底座;扇子;手鏈;打掃用具;掛勾;掛鉤;擺設件;收納桶;收納盒;收納籃;收納罐;文具收納盒;文具用品;桌墊;梯子;橡皮筋;水桶;水槽盒;水盆;浴盆;清潔用具;清潔用品;測試儀器配件;滑鼠墊;瀝水籃;瀝水藍;燈籠;牙膏擠壓器;瓶子;盆子;盒子;筆袋;籃子;粘毛滾;繞線器;罐子;置物盒;置物箱;置物籃;耳勺;肥皂盒;腳墊;腳踏墊;膠帶;膠條;膠水;膠膜;茶盤;裝飾品;裝飾配件;託盤;購物袋;防塵套;防水袋;靠墊;風箏;飾品配件;首飾盒
4002.99.90.00-3	綁帶
4115.10.00.00-2	LEATHER
4202.39.00.00-3	BAG;BELT;PVC BOARD;便當包;包包;包裝袋;化妝包;女士包袋;帆布包;後背包;手把;手提包;手提袋;收納包;收納袋;書包;背包;袋子;錢包;零錢包;馬鞍包
4203.30.10.00-9	BELT;皮帶
4402.90.00.00-7	木炭
4414.90.00.00-3	玻璃製品
4417.00.00.00-9	清潔用具
4419.11.00.00-4	菜板
4420.19.00.90-4	印章;家具零件;家用擺飾品;家用擺飾物;掛鉤;擀麵杖;木製品;木製裝飾品;架子
4601.21.00.00-0	簾子
4601.29.90.00-3	屏風
4601.93.90.00-4	捲簾
4817.20.00.00-1	明信片
